,Technology,Test_type,Data Speed(Mbps),Signal_strength
2314,3G,Download,0.35,-85
2315,3G,Download,0.7,-79
2316,3G,Download,0.64,-79
2317,3G,Download,0.37,-81
2343,3G,Upload,0.62,-89
2344,3G,Upload,0.74,-85
2345,3G,Upload,0.69,-85
2346,3G,Upload,0.71,-85
2347,3G,Upload,0.71,-73
2348,3G,Upload,0.72,-81
2431,3G,Download,4.73,-91
2436,3G,Upload,0.57,-91
2493,3G,Download,2.87,-81
2494,3G,Download,0.33,-89
2495,3G,Upload,1.98,-81
2496,3G,Upload,1.83,-89
2551,3G,Download,5.2,-77
2552,3G,Upload,1.36,-87
2574,3G,Download,2.07,-63
2583,3G,Download,3.38,-57
2590,3G,Download,6.11,na
2594,3G,Download,0.5,-67
2595,3G,Download,0.55,-67
2597,3G,Download,2.18,-61
2599,3G,Download,1.4,-67
2604,3G,Download,0.45,-73
2605,3G,Download,0.07,-81
2606,3G,Download,0.34,-79
2609,3G,Download,0.51,-85
2618,3G,Download,0.14,-97
2622,3G,Download,0.38,-77
2625,3G,Download,1.5,-81
2638,3G,Upload,1.61,-81
2711,3G,Download,8.29,-65
2749,3G,Upload,1.75,-67
2758,3G,Upload,0.19,-79
2759,3G,Upload,0.92,-85
2769,3G,Download,4.65,na
2770,3G,Download,7.9,na
2774,3G,Upload,3.31,na
2775,3G,Upload,1.52,na
2863,3G,Upload,1.55,-95
2864,3G,Upload,1.37,-89
2865,3G,Upload,1.5,-95
2866,3G,Upload,0.14,-99
2867,3G,Upload,0.6,-97
2868,3G,Upload,1.59,-101
2869,3G,Upload,1.44,-103
2870,3G,Upload,1.3,-101
2871,3G,Upload,1.62,-87
2872,3G,Upload,0.57,-85
2873,3G,Upload,0.79,-89
2874,3G,Upload,0.97,-89
2875,3G,Upload,0.46,-85
2876,3G,Upload,0.52,-55
2877,3G,Upload,1.14,-73
2878,3G,Upload,0.95,-79
2879,3G,Upload,1.2,-63
2880,3G,Upload,0.24,na
2881,3G,Upload,0.08,-55
2882,3G,Upload,0.95,-67
2883,3G,Upload,1.16,-57
2884,3G,Upload,1.13,-57
2885,3G,Upload,0.67,-65
2886,3G,Upload,0.79,-69
2887,3G,Upload,0.51,-71
2888,3G,Upload,1.02,-97
2949,3G,Upload,3.41,-113
2954,3G,Upload,4.7,-113
2996,3G,Download,4.07,-91
2997,3G,Download,0.0,-83
2998,3G,Download,0.33,-91
3344,3G,Download,1.3,-95
3345,3G,Download,0.01,-89
3350,3G,Download,0.6,-97
3369,3G,Download,1.24,-95
3406,3G,Upload,0.24,-79
3431,3G,Download,1.76,-83
3434,3G,Download,2.8,-97
3437,3G,Download,1.8,-105
3438,3G,Upload,0.0,-83
3441,3G,Upload,0.21,-87
3444,3G,Upload,0.98,-97
3449,3G,Upload,0.31,-107
3469,3G,Upload,2.48,-85
3522,3G,Download,0.4,-89
3523,3G,Download,0.58,-85
3524,3G,Download,1.96,-97
3534,3G,Download,3.33,-57
3535,3G,Download,2.52,-61
3537,3G,Download,1.17,na
3538,3G,Download,0.78,na
3542,3G,Upload,0.32,-89
3543,3G,Upload,0.0,-91
3544,3G,Upload,0.12,-93
3554,3G,Upload,0.45,-57
3555,3G,Upload,1.26,-61
3557,3G,Upload,1.8,na
3558,3G,Upload,0.04,na
3632,3G,Download,0.39,-65
3637,3G,Upload,2.21,-65
3646,3G,Download,3.94,-89
3647,3G,Upload,0.78,-89
3671,3G,Upload,1.32,-91
3708,3G,Download,0.3,-63
3710,3G,Upload,0.55,-63
3758,3G,Download,1.62,-85
3759,3G,Upload,1.72,-85
3854,3G,Download,1.04,-81
3855,3G,Download,2.41,-81
3856,3G,Download,0.72,-85
3857,3G,Upload,0.01,-87
3858,3G,Upload,0.81,-83
3859,3G,Upload,0.03,-85
3864,3G,Download,0.66,-87
3872,3G,Download,0.38,-89
3882,3G,Upload,0.29,-87
3890,3G,Upload,0.29,-89
3916,3G,Download,3.58,-83
3917,3G,Upload,0.63,-83
3936,3G,Download,1.43,-57
3938,3G,Download,2.26,-83
3939,3G,Download,0.56,na
3942,3G,Download,1.35,-63
3943,3G,Upload,5.02,-63
3945,3G,Upload,3.17,-81
3946,3G,Upload,1.54,na
3949,3G,Upload,3.05,-63
3970,3G,Download,1.78,-73
3971,3G,Download,9.65,-67
