,Technology,Test_type,Data Speed(Mbps),Signal_strength
376514,3G,Download,2.0,-89
376515,3G,Download,1.42,-95
376524,3G,Download,0.59,-77
376534,3G,Download,1.56,-73
376535,3G,Download,0.93,-75
376536,3G,Download,0.48,-73
376537,3G,Download,0.37,-69
376538,3G,Download,0.41,-71
376539,3G,Download,0.3,-83
376542,3G,Download,3.94,-85
376543,3G,Download,3.56,-87
376549,3G,Download,4.39,-77
376564,3G,Download,6.44,-81
376565,3G,Download,6.06,-75
376566,3G,Download,7.88,-73
376567,3G,Download,6.98,-61
376568,3G,Download,2.48,-65
376572,3G,Download,2.22,-65
376573,3G,Download,0.52,-65
376574,3G,Download,0.91,-71
376575,3G,Download,1.19,-65
376580,3G,Download,1.27,-59
376586,3G,Download,3.75,-85
376587,3G,Download,2.16,-83
376588,3G,Download,5.27,-83
376589,3G,Download,0.56,-89
376590,3G,Download,0.3,-85
376610,3G,Download,1.88,-87
376620,3G,Download,1.95,-83
376638,3G,Download,1.0,-75
376639,3G,Download,1.04,-65
376640,3G,Download,2.36,-87
376641,3G,Download,1.66,-75
376642,3G,Download,2.01,-81
376643,3G,Download,2.01,-73
376644,3G,Download,1.36,-83
376645,3G,Download,2.87,-79
376651,3G,Download,2.04,-97
376652,3G,Download,1.91,-87
376665,3G,Download,1.45,-95
376666,3G,Download,0.72,-83
376669,3G,Download,0.43,-91
376670,3G,Download,0.82,-89
376674,3G,Download,1.65,-71
376689,3G,Download,1.51,-79
376693,3G,Download,0.32,-65
376694,3G,Download,0.23,-69
376697,3G,Download,1.12,-95
376698,3G,Download,0.07,-101
376704,3G,Download,0.12,-97
376705,3G,Download,0.36,-97
376706,3G,Download,0.25,-87
376707,3G,Download,0.56,-85
376708,3G,Download,0.36,-95
376711,3G,Download,7.84,-85
376712,3G,Download,16.53,-83
376716,3G,Download,0.0,-69
376729,3G,Download,1.43,-73
376750,3G,Upload,0.13,-55
376757,3G,Upload,0.06,-79
376758,3G,Upload,0.19,-73
376760,3G,Upload,0.93,-59
376761,3G,Upload,0.45,-97
376762,3G,Upload,0.17,-91
376764,3G,Upload,0.09,-101
376765,3G,Upload,0.58,-81
376766,3G,Upload,0.08,-85
376767,3G,Upload,0.0,-101
376768,3G,Upload,0.31,-91
376769,3G,Upload,0.08,-91
376770,3G,Upload,0.01,-95
376778,3G,Upload,1.27,-75
376788,3G,Upload,0.0,-87
376789,3G,Upload,2.6,-75
376790,3G,Upload,2.05,-71
376791,3G,Upload,1.92,-69
376792,3G,Upload,1.23,-71
376793,3G,Upload,2.32,-73
376796,3G,Upload,1.68,-87
376797,3G,Upload,1.46,-87
376803,3G,Upload,1.92,-75
376818,3G,Upload,2.34,-79
376819,3G,Upload,1.4,-75
376820,3G,Upload,2.66,-73
376821,3G,Upload,2.97,-61
376822,3G,Upload,2.51,-65
376826,3G,Upload,1.17,-65
376827,3G,Upload,1.46,-65
376828,3G,Upload,3.11,-67
376829,3G,Upload,0.9,-65
376834,3G,Upload,2.2,-61
376840,3G,Upload,1.33,-85
376841,3G,Upload,1.12,-85
376842,3G,Upload,2.13,-87
376843,3G,Upload,0.8,-87
376844,3G,Upload,0.73,-91
376864,3G,Upload,1.65,-87
376874,3G,Upload,0.1,-83
376892,3G,Upload,0.73,-75
376893,3G,Upload,0.54,-81
376894,3G,Upload,0.97,-71
376895,3G,Upload,0.3,-75
376896,3G,Upload,0.24,-79
376897,3G,Upload,0.11,-81
376898,3G,Upload,0.46,-85
376899,3G,Upload,0.33,-75
376905,3G,Upload,0.85,-85
376906,3G,Upload,1.06,-85
376919,3G,Upload,0.38,-95
376920,3G,Upload,0.09,-83
376923,3G,Upload,0.71,-85
376924,3G,Upload,0.45,-89
376928,3G,Upload,1.11,-73
376943,3G,Upload,2.05,-75
376947,3G,Upload,0.01,-65
376948,3G,Upload,0.34,-71
376951,3G,Upload,0.0,-95
376952,3G,Upload,0.74,-101
376958,3G,Upload,0.67,-99
376959,3G,Upload,1.94,-95
376960,3G,Upload,0.87,-85
376961,3G,Upload,1.23,-85
376962,3G,Upload,0.46,-95
376965,3G,Upload,0.01,-85
376966,3G,Upload,0.0,-83
376970,3G,Upload,0.1,-85
376983,3G,Upload,1.92,-73
377028,3G,Upload,1.61,-91
377029,3G,Upload,0.71,-95
377030,3G,Upload,1.48,-91
377031,3G,Upload,1.64,-83
377032,3G,Upload,1.12,-63
377033,3G,Upload,0.01,-59
377034,3G,Upload,1.51,-71
377090,3G,Download,2.6,-85
377091,3G,Download,3.99,-91
377092,3G,Upload,1.09,-85
377093,3G,Upload,1.3,-91
377259,3G,Download,0.96,-91
377260,3G,Upload,1.91,-85
377279,3G,Download,3.53,-71
377280,3G,Download,3.79,-63
377281,3G,Download,4.65,-65
377282,3G,Download,7.31,-69
377283,3G,Download,3.83,na
377284,3G,Download,5.42,-65
377285,3G,Download,6.36,-61
377286,3G,Download,1.81,-77
377287,3G,Download,2.98,-77
377288,3G,Download,1.98,-69
377289,3G,Upload,1.39,-71
377290,3G,Upload,0.88,-65
377291,3G,Upload,1.25,-63
377292,3G,Upload,1.4,-71
377293,3G,Upload,1.24,na
377294,3G,Upload,0.52,-65
377295,3G,Upload,0.88,-61
377296,3G,Upload,1.22,-77
377297,3G,Upload,1.36,-77
377298,3G,Upload,1.3,-69
377299,3G,Download,0.55,-87
377300,3G,Download,0.11,-81
377301,3G,Download,0.5,-95
377302,3G,Download,1.09,-93
377303,3G,Download,0.46,-89
377304,3G,Download,0.85,-87
377305,3G,Download,5.54,-87
377306,3G,Upload,0.68,-89
377307,3G,Upload,0.0,-77
377308,3G,Upload,0.12,-99
377309,3G,Upload,0.09,-91
377310,3G,Upload,0.02,-89
377311,3G,Upload,0.89,-87
377312,3G,Upload,0.46,-87
377337,3G,Download,1.08,-79
377338,3G,Download,0.34,-87
377339,3G,Download,7.69,-59
377340,3G,Download,3.5,-101
377341,3G,Download,3.72,-87
377342,3G,Download,6.75,-65
377343,3G,Download,4.09,-93
377344,3G,Download,4.47,-93
377345,3G,Download,4.26,-97
377346,3G,Download,5.15,-83
377347,3G,Download,4.78,-71
377350,3G,Upload,2.26,-79
377351,3G,Upload,3.67,-87
377352,3G,Upload,2.87,-59
377353,3G,Upload,1.96,-101
377354,3G,Upload,2.4,-91
377355,3G,Upload,2.89,-65
377356,3G,Upload,0.78,-93
377357,3G,Upload,0.03,-93
377358,3G,Upload,0.26,-97
377359,3G,Upload,3.36,-83
377360,3G,Upload,1.64,-69
377423,3G,Upload,1.56,-79
377496,3G,Download,3.77,-67
377497,3G,Download,4.04,-61
377498,3G,Download,4.69,-61
377499,3G,Upload,1.93,-67
377500,3G,Upload,3.1,-61
377501,3G,Upload,1.64,-61
377510,3G,Download,0.16,-107
377511,3G,Download,0.55,-87
377512,3G,Download,0.29,-89
377513,3G,Download,0.57,-89
377514,3G,Download,0.87,-83
377515,3G,Download,0.27,-97
377516,3G,Download,0.22,-97
377517,3G,Download,0.64,-107
377518,3G,Download,0.68,-95
377519,3G,Download,0.0,-107
377520,3G,Download,2.3,-103
377521,3G,Download,2.84,-89
377522,3G,Download,2.57,-93
377523,3G,Download,3.21,-93
377524,3G,Download,2.19,-99
377525,3G,Download,2.01,-99
377526,3G,Download,0.31,-55
377543,3G,Download,2.16,-83
377544,3G,Download,3.63,-83
377545,3G,Download,6.64,-77
377546,3G,Upload,2.93,-83
377547,3G,Upload,3.05,-83
377548,3G,Upload,3.15,-77
377685,3G,Download,4.25,-91
377686,3G,Download,3.03,-91
377687,3G,Download,2.81,-97
377688,3G,Download,1.21,-91
377689,3G,Upload,0.44,-89
377690,3G,Upload,0.12,-91
377691,3G,Upload,0.2,-91
377692,3G,Upload,0.04,-93
377700,3G,Download,0.14,-95
377701,3G,Download,0.11,-89
377703,3G,Upload,0.83,-95
377704,3G,Upload,0.35,-89
377739,3G,Download,0.26,-107
377740,3G,Download,0.12,-103
377781,3G,Upload,0.02,-107
377782,3G,Upload,0.28,-103
377789,3G,Upload,4.79,-83
377806,3G,Download,3.65,-103
377807,3G,Download,3.0,-79
377808,3G,Download,4.77,-89
377809,3G,Download,7.04,-99
377810,3G,Download,6.0,-101
377812,3G,Download,3.62,-87
377814,3G,Download,7.01,-93
377824,3G,Download,1.12,-83
377831,3G,Upload,1.05,-103
377832,3G,Upload,0.86,-71
377833,3G,Upload,1.19,-89
377834,3G,Upload,0.86,-99
377835,3G,Upload,0.58,-101
377837,3G,Upload,0.36,-87
377839,3G,Upload,0.99,-93
377849,3G,Upload,1.02,-83
378063,3G,Download,0.38,-91
378065,3G,Upload,0.79,-91
378128,3G,Download,4.4,-87
378129,3G,Download,2.47,-89
378135,3G,Upload,1.71,-87
378136,3G,Upload,1.67,-89
378149,3G,Download,5.79,-85
378150,3G,Download,0.79,-73
378151,3G,Download,1.27,-67
378152,3G,Download,6.26,-71
378153,3G,Download,7.07,-59
378154,3G,Download,0.85,-85
378155,3G,Upload,0.78,-85
378156,3G,Upload,1.73,-77
378157,3G,Upload,1.62,-67
378158,3G,Upload,3.64,-71
378159,3G,Upload,2.5,-59
378160,3G,Upload,1.68,-87
378312,3G,Download,0.68,-85
378315,3G,Download,0.57,-73
378325,3G,Upload,0.56,-85
378328,3G,Upload,1.04,-75
378375,3G,Download,0.42,-69
378388,3G,Upload,0.17,-65
378404,3G,Download,0.24,-85
378405,3G,Download,0.58,-83
378411,3G,Download,0.64,-91
378421,3G,Download,0.24,-87
378448,3G,Download,5.94,-85
378457,3G,Download,0.17,-73
378461,3G,Upload,0.35,-83
378462,3G,Upload,1.49,-83
378468,3G,Upload,1.11,-89
378470,3G,Upload,2.59,-97
378478,3G,Upload,0.0,-77
378480,3G,Upload,0.59,-81
378494,3G,Upload,2.67,-73
378505,3G,Upload,1.43,-85
378534,3G,Download,0.14,-75
378536,3G,Upload,1.66,-75
378574,3G,Upload,2.22,-95
378575,3G,Upload,0.06,-99
378576,3G,Upload,0.04,-91
378578,3G,Upload,0.57,-77
378584,3G,Download,0.49,-101
378585,3G,Upload,0.02,-109
378751,3G,Download,2.38,-113
378752,3G,Upload,2.06,-113
379013,3G,Download,1.54,-85
379014,3G,Download,1.02,-85
379015,3G,Download,0.35,-85
379016,3G,Download,0.46,-85
379017,3G,Download,0.1,-97
379018,3G,Download,1.04,-91
379021,3G,Download,4.88,-91
379022,3G,Download,3.9,-91
379023,3G,Download,4.52,-91
379024,3G,Download,2.86,-91
379025,3G,Download,4.14,-91
379026,3G,Download,3.8,-91
379031,3G,Upload,2.39,-85
379032,3G,Upload,0.68,-85
379033,3G,Upload,2.17,-85
379034,3G,Upload,1.34,-91
379035,3G,Upload,1.36,-97
379036,3G,Upload,0.01,-91
379039,3G,Upload,3.21,-91
379040,3G,Upload,3.13,-91
379041,3G,Upload,1.36,-91
379042,3G,Upload,0.05,-91
379043,3G,Upload,3.28,-91
379044,3G,Upload,1.74,-91
379077,3G,Download,1.36,-87
379078,3G,Download,3.12,-97
379079,3G,Download,5.5,-93
379080,3G,Download,0.97,-95
379082,3G,Download,1.59,-81
379083,3G,Download,1.42,-83
379084,3G,Download,2.45,-65
379085,3G,Download,3.95,-67
379086,3G,Download,1.05,na
379087,3G,Download,2.31,-73
379088,3G,Download,0.58,-79
379089,3G,Download,3.18,-77
379090,3G,Download,1.39,-77
379091,3G,Download,3.06,-75
379092,3G,Download,2.54,-73
379093,3G,Download,0.67,-81
379094,3G,Download,1.75,-71
379095,3G,Download,1.62,-71
379096,3G,Download,2.44,-65
379097,3G,Download,0.0,-69
379098,3G,Download,3.38,-75
379099,3G,Download,3.25,-83
379100,3G,Download,1.2,-73
379101,3G,Download,1.62,-75
379102,3G,Download,1.61,-65
379103,3G,Download,2.51,-67
379104,3G,Download,1.61,-61
379105,3G,Download,2.71,-93
379106,3G,Download,1.59,-99
379107,3G,Download,1.6,-99
379108,3G,Download,2.87,-99
379109,3G,Download,3.15,-97
379110,3G,Download,0.04,-103
379111,3G,Download,2.72,-89
379119,3G,Upload,0.25,-87
379120,3G,Upload,0.0,-97
379121,3G,Upload,0.61,-93
379122,3G,Upload,0.08,-95
379124,3G,Upload,0.0,-81
379125,3G,Upload,0.46,-83
379126,3G,Upload,0.45,-65
379127,3G,Upload,0.0,-67
379128,3G,Upload,0.34,na
379129,3G,Upload,0.55,-73
379130,3G,Upload,0.0,-79
379131,3G,Upload,0.38,-77
379132,3G,Upload,0.38,-77
379133,3G,Upload,0.35,-75
379134,3G,Upload,0.4,-73
379135,3G,Upload,0.47,-81
379136,3G,Upload,0.0,-71
379137,3G,Upload,0.0,-71
379138,3G,Upload,0.18,-67
379139,3G,Upload,0.31,-69
379140,3G,Upload,0.4,-75
379141,3G,Upload,0.41,-83
379142,3G,Upload,0.0,-73
379143,3G,Upload,0.0,-75
379144,3G,Upload,0.42,-65
379145,3G,Upload,0.75,-67
379146,3G,Upload,0.0,-61
379147,3G,Upload,0.25,-93
379148,3G,Upload,0.0,-99
379149,3G,Upload,0.0,-99
379150,3G,Upload,0.36,-99
379151,3G,Upload,0.26,-97
379152,3G,Upload,0.3,-103
379153,3G,Upload,0.27,-99
379288,3G,Download,0.21,-113
379289,3G,Download,0.24,na
379292,3G,Upload,0.92,na
379293,3G,Upload,0.38,na
379301,3G,Download,3.39,-69
379302,3G,Download,1.02,-75
379305,3G,Upload,0.99,-69
379306,3G,Upload,1.45,-73
379310,3G,Download,2.54,-83
379311,3G,Download,0.77,-91
379312,3G,Download,1.41,-85
379456,3G,Upload,1.04,-101
379497,3G,Download,0.36,-93
379498,3G,Download,0.18,-81
379501,3G,Download,2.88,-75
379506,3G,Upload,0.05,-93
379507,3G,Upload,0.1,-81
379510,3G,Upload,0.01,-75
379520,3G,Download,5.39,-97
379522,3G,Download,3.03,-105
379525,3G,Download,0.58,-91
379538,3G,Upload,0.78,-95
379540,3G,Upload,1.0,-103
379543,3G,Upload,1.14,-91
379570,3G,Download,0.78,-79
379571,3G,Upload,0.19,-81
379792,3G,Upload,1.8,-107
379888,3G,Download,0.98,-85
379889,3G,Upload,0.83,-85
380044,3G,Download,1.46,-77
380045,3G,Download,1.04,-93
380046,3G,Download,0.36,-77
380047,3G,Download,0.34,-77
380048,3G,Download,0.55,-83
380049,3G,Download,1.53,-85
380050,3G,Download,1.09,-81
380051,3G,Download,0.77,-81
380052,3G,Upload,3.34,-77
380053,3G,Upload,1.36,-93
380054,3G,Upload,2.26,-77
380055,3G,Upload,1.62,-77
380056,3G,Upload,1.42,-87
380057,3G,Upload,1.25,-85
380058,3G,Upload,1.06,-81
380059,3G,Upload,1.52,-81
380096,3G,Upload,1.71,-85
380097,3G,Upload,1.25,-91
380098,3G,Upload,1.45,-91
380099,3G,Upload,1.03,-85
380100,3G,Upload,1.0,-85
380101,3G,Upload,2.04,-85
380102,3G,Upload,1.78,-91
380103,3G,Upload,0.88,-91
380104,3G,Upload,1.46,-85
380105,3G,Upload,1.57,-91
380106,3G,Upload,2.63,-59
380107,3G,Upload,1.35,-85
380108,3G,Upload,1.0,-91
380109,3G,Upload,1.59,-85
380110,3G,Upload,1.82,-91
380111,3G,Upload,0.01,-91
380130,3G,Download,6.47,-93
380131,3G,Upload,1.84,-95
380193,3G,Upload,1.21,-75
380197,3G,Upload,3.89,-65
380200,3G,Upload,3.29,-67
380233,3G,Download,1.68,-91
380300,3G,Download,4.58,-89
380301,3G,Download,0.48,-77
380305,3G,Download,3.27,-69
380310,3G,Upload,2.05,-83
380311,3G,Upload,0.1,-81
380315,3G,Upload,3.66,-63
380400,3G,Download,12.32,-91
380407,3G,Download,2.44,-73
380408,3G,Download,0.13,-83
380409,3G,Download,1.58,-89
380410,3G,Download,3.44,-89
380411,3G,Download,2.24,-85
380412,3G,Download,0.0,-113
380414,3G,Download,1.72,-81
380415,3G,Download,0.81,-91
380416,3G,Download,2.98,-89
380417,3G,Download,6.36,-71
380418,3G,Upload,0.38,-113
380424,3G,Upload,0.99,-97
380425,3G,Upload,2.19,-69
380426,3G,Upload,1.35,-85
380427,3G,Upload,0.14,-93
380428,3G,Upload,2.29,-91
380429,3G,Upload,1.69,-81
380432,3G,Upload,3.66,-69
380433,3G,Upload,1.53,-89
380434,3G,Upload,2.27,-85
380435,3G,Upload,4.38,-73
380528,3G,Download,0.03,-95
380531,3G,Download,0.97,-89
380533,3G,Upload,0.26,-93
380536,3G,Upload,3.17,-91
380637,3G,Download,4.11,-87
380668,3G,Upload,0.0,-93
380775,3G,Download,0.58,-93
380776,3G,Download,0.42,-93
380777,3G,Download,0.29,-97
380778,3G,Download,6.44,-79
380779,3G,Download,2.1,-87
380780,3G,Download,2.19,-75
380781,3G,Download,0.29,-83
380782,3G,Download,2.31,-93
380783,3G,Upload,0.37,-91
380784,3G,Upload,0.98,-93
380785,3G,Upload,0.89,-93
380786,3G,Upload,2.34,-69
380787,3G,Upload,0.69,-75
380788,3G,Upload,1.56,-75
380789,3G,Upload,1.66,-87
380790,3G,Upload,0.01,-89
380894,3G,Download,1.74,-61
380975,3G,Upload,2.13,na
380976,3G,Upload,1.34,na
380977,3G,Upload,1.69,na
380978,3G,Upload,2.59,na
380979,3G,Upload,2.09,na
380980,3G,Upload,2.86,na
380982,3G,Upload,1.62,-57
380985,3G,Upload,0.62,na
380986,3G,Upload,2.21,na
380987,3G,Upload,1.65,-61
380988,3G,Upload,1.63,-61
380989,3G,Upload,1.65,-59
380990,3G,Upload,1.92,-57
380991,3G,Upload,1.67,-71
381001,3G,Upload,1.62,-59
381002,3G,Upload,1.73,-61
381003,3G,Upload,1.73,-65
381004,3G,Upload,2.5,-65
381005,3G,Upload,1.73,-67
381006,3G,Upload,1.68,na
381007,3G,Upload,1.79,-85
381219,3G,Download,2.89,-93
381220,3G,Download,1.25,-93
381221,3G,Download,0.35,-93
381222,3G,Upload,1.15,-93
381223,3G,Upload,2.58,-85
381224,3G,Upload,2.19,-93
381343,3G,Download,14.72,-79
381345,3G,Download,6.17,-79
381349,3G,Download,0.0,-103
381351,3G,Download,16.5,-87
381353,3G,Download,0.0,-71
381357,3G,Download,6.76,-71
381360,3G,Upload,1.07,-79
381362,3G,Upload,3.95,-81
381366,3G,Upload,0.77,-103
381368,3G,Upload,0.87,-87
381370,3G,Upload,3.07,-79
381374,3G,Upload,1.3,-75
381404,3G,Download,1.24,-93
381405,3G,Download,0.39,-97
381457,3G,Download,0.1,-97
381458,3G,Download,0.31,-85
381459,3G,Download,0.23,-85
381460,3G,Download,0.33,-85
381461,3G,Download,0.39,-85
381462,3G,Download,0.32,-85
381465,3G,Upload,0.65,-97
381466,3G,Upload,1.78,-85
381467,3G,Upload,1.88,-85
381468,3G,Upload,1.68,-85
381469,3G,Upload,1.99,-85
381470,3G,Upload,1.67,-85
381519,3G,Download,2.16,-93
381520,3G,Download,4.03,-97
381521,3G,Upload,0.35,-93
381522,3G,Upload,0.5,-91
381544,3G,Download,0.42,-97
381549,3G,Upload,0.01,-97
381566,3G,Download,4.05,-91
381567,3G,Download,6.55,-79
381568,3G,Download,2.68,-81
381595,3G,Download,0.69,-83
381596,3G,Download,0.96,-73
381597,3G,Download,2.75,-101
381601,3G,Upload,1.8,-91
381602,3G,Upload,1.64,-73
381603,3G,Upload,2.02,-79
381630,3G,Upload,1.72,-83
381631,3G,Upload,1.84,-73
381632,3G,Upload,0.6,-101
381786,3G,Download,0.29,-69
381787,3G,Download,3.15,-79
381788,3G,Download,3.62,-75
381789,3G,Download,3.88,-69
381790,3G,Upload,0.08,-89
381791,3G,Upload,0.3,-75
381792,3G,Upload,1.41,-83
381793,3G,Upload,3.54,-69
382002,3G,Download,0.41,-75
382003,3G,Download,0.36,-73
382058,3G,Download,0.0,-97
382059,3G,Upload,0.89,-97
382119,3G,Download,1.53,-65
382120,3G,Download,1.18,-79
382163,3G,Download,0.59,-91
382216,3G,Download,4.48,na
382224,3G,Upload,1.26,na
382232,3G,Download,1.08,-63
382233,3G,Download,0.76,-75
382234,3G,Download,2.01,-69
382235,3G,Download,0.78,-89
382236,3G,Upload,0.03,-63
382237,3G,Upload,2.05,-73
382238,3G,Upload,0.03,-69
382239,3G,Upload,1.5,-89
382462,3G,Download,7.53,-95
382467,3G,Upload,2.73,-93
382468,3G,Upload,0.99,-91
382560,3G,Download,0.04,-103
382567,3G,Upload,0.76,-103
382592,3G,Download,0.49,-85
382593,3G,Download,0.48,-85
382594,3G,Download,1.45,-81
382595,3G,Download,1.31,-81
382596,3G,Download,0.24,-81
382597,3G,Download,0.23,-81
382599,3G,Download,0.04,na
382600,3G,Download,0.66,-73
382607,3G,Download,3.21,-85
382608,3G,Download,2.18,-73
382614,3G,Upload,1.16,-87
382615,3G,Upload,1.41,-85
382616,3G,Upload,0.42,-81
382617,3G,Upload,1.44,-81
382618,3G,Upload,0.83,-81
382619,3G,Upload,1.93,-81
382622,3G,Upload,1.61,-73
382629,3G,Upload,1.43,-85
382630,3G,Upload,0.7,-75
382636,3G,Download,0.28,-99
382637,3G,Download,2.93,-91
382638,3G,Download,0.62,-89
382639,3G,Upload,0.0,-103
382640,3G,Upload,0.01,-91
382641,3G,Upload,0.74,-89
382697,3G,Download,0.07,-69
382698,3G,Download,0.61,-75
382699,3G,Download,2.04,-71
382700,3G,Download,3.8,-87
382701,3G,Download,0.03,-67
382702,3G,Download,0.04,-69
382703,3G,Download,2.67,-75
382704,3G,Upload,1.35,-69
382705,3G,Upload,2.13,-75
382706,3G,Upload,2.57,-71
382707,3G,Upload,1.83,-87
382708,3G,Upload,0.92,-67
382709,3G,Upload,0.69,-63
382710,3G,Upload,2.83,-83
382764,3G,Download,0.28,-83
382765,3G,Download,8.04,-57
382766,3G,Download,4.35,na
382767,3G,Download,2.42,-67
382777,3G,Upload,0.89,-83
382778,3G,Upload,1.19,-57
382779,3G,Upload,1.04,-63
382780,3G,Upload,0.91,na
382798,3G,Download,2.03,-65
382799,3G,Upload,1.87,-65
382800,3G,Upload,0.34,-83
382843,3G,Download,0.01,-93
382874,3G,Download,0.19,-97
382875,3G,Upload,0.8,-97
382962,3G,Download,5.06,na
382963,3G,Download,1.54,-67
382964,3G,Download,6.43,-67
382968,3G,Upload,1.88,na
382969,3G,Upload,2.32,-67
382970,3G,Upload,2.93,-67
382986,3G,Download,0.38,-113
383031,3G,Download,1.54,-97
383032,3G,Upload,1.5,-91
383034,3G,Download,0.98,-85
383035,3G,Download,0.85,-87
383041,3G,Download,0.71,-99
383043,3G,Upload,0.18,-93
383109,3G,Download,2.3,-91
383112,3G,Download,3.88,-71
383113,3G,Download,0.0,-85
383115,3G,Download,0.85,-69
383117,3G,Upload,0.96,-89
383123,3G,Upload,0.17,-69
383141,3G,Upload,2.16,-91
383166,3G,Download,0.32,-73
383174,3G,Download,0.09,-81
383181,3G,Upload,0.66,-73
383189,3G,Upload,0.43,-81
383192,3G,Download,0.32,-97
383193,3G,Download,1.82,-91
383197,3G,Upload,0.54,-91
383198,3G,Upload,0.2,-91
383264,3G,Download,0.38,-81
383265,3G,Download,8.22,-73
383266,3G,Upload,0.95,-81
383267,3G,Upload,1.13,-75
383337,3G,Download,0.93,-57
383381,3G,Download,1.0,-81
383382,3G,Upload,0.72,-81
383396,3G,Download,0.35,-85
383397,3G,Download,0.42,-91
383398,3G,Download,0.18,-91
383399,3G,Download,0.56,-91
383400,3G,Upload,0.06,-91
383401,3G,Upload,0.04,-91
383402,3G,Upload,0.28,-91
383403,3G,Upload,0.5,-97
383430,3G,Download,4.78,-83
383431,3G,Download,3.4,-75
383432,3G,Download,1.2,-83
383433,3G,Download,1.63,-97
383434,3G,Download,0.24,-105
383435,3G,Download,0.33,-97
383436,3G,Download,2.4,-97
383437,3G,Upload,1.82,-79
383438,3G,Upload,1.74,-83
383439,3G,Upload,1.88,-89
383440,3G,Upload,0.1,-97
383441,3G,Upload,0.42,-105
383442,3G,Upload,0.48,-97
383443,3G,Upload,0.21,-97
383454,3G,Upload,1.89,-63
383455,3G,Upload,1.6,-85
383456,3G,Upload,1.96,-85
383488,3G,Download,0.01,-77
383491,3G,Download,0.19,-93
383496,3G,Upload,1.56,-77
383499,3G,Upload,1.66,-93
383554,3G,Download,0.99,-85
383555,3G,Download,1.18,-109
383566,3G,Download,1.09,-91
383567,3G,Download,0.41,-87
383568,3G,Download,0.84,-87
383576,3G,Download,1.58,-73
383577,3G,Download,1.73,-75
383578,3G,Download,0.96,-91
383579,3G,Download,1.19,-93
383583,3G,Download,1.17,-73
383584,3G,Download,3.85,-73
383585,3G,Download,2.92,-73
383596,3G,Download,0.48,-97
383599,3G,Download,1.34,-104
383604,3G,Download,0.14,na
383611,3G,Download,0.99,-67
383613,3G,Download,0.4,-95
383617,3G,Download,2.12,-81
383620,3G,Download,1.12,-73
383626,3G,Download,0.07,-81
383630,3G,Download,2.42,-83
383633,3G,Download,0.36,-71
383638,3G,Upload,0.0,-89
383639,3G,Upload,0.03,-103
383650,3G,Upload,0.97,-93
383651,3G,Upload,1.18,-89
383652,3G,Upload,1.5,-87
383660,3G,Upload,1.51,-73
383661,3G,Upload,1.39,-75
383662,3G,Upload,0.86,-83
383663,3G,Upload,0.74,-87
383667,3G,Upload,1.38,-73
383668,3G,Upload,1.68,-73
383669,3G,Upload,1.6,-73
383680,3G,Upload,0.46,-93
383683,3G,Upload,0.95,-111
383688,3G,Upload,1.23,-110
383695,3G,Upload,1.33,-67
383697,3G,Upload,0.0,-101
383701,3G,Upload,1.6,-81
383704,3G,Upload,1.23,-73
383710,3G,Upload,0.82,-81
383714,3G,Upload,0.01,-83
383717,3G,Upload,1.22,-71
383743,3G,Download,4.93,-87
383746,3G,Upload,0.35,-83
383793,3G,Download,1.29,-93
383794,3G,Download,0.89,-93
383797,3G,Download,0.02,-93
383805,3G,Upload,1.09,-93
383806,3G,Upload,0.08,-93
383809,3G,Upload,0.88,-87
384073,3G,Download,0.4,-93
384074,3G,Download,0.47,-87
384078,3G,Download,1.11,-99
384079,3G,Download,3.98,-95
384086,3G,Upload,1.21,-95
384087,3G,Upload,1.12,-93
384091,3G,Upload,1.47,-99
384092,3G,Upload,1.53,-95
384118,3G,Download,5.52,-79
384119,3G,Upload,1.16,-79
384122,3G,Download,0.26,-83
384123,3G,Upload,0.29,-83
384292,3G,Download,0.17,-69
384293,3G,Download,1.69,na
384303,3G,Upload,0.42,-69
384304,3G,Upload,0.3,na
384341,3G,Download,0.98,-99
384342,3G,Download,1.78,-93
384350,3G,Download,11.27,-88
384352,3G,Upload,6.79,-87
384406,3G,Download,2.43,-73
384407,3G,Download,4.82,-63
384408,3G,Download,6.81,-71
384409,3G,Download,5.57,-85
384410,3G,Download,3.7,-77
384411,3G,Download,5.41,-81
384412,3G,Download,7.78,-73
384413,3G,Download,4.54,-65
384414,3G,Download,2.26,na
384415,3G,Download,1.34,na
384416,3G,Download,2.38,-63
384417,3G,Download,1.49,na
384418,3G,Download,1.3,-63
384419,3G,Download,0.4,-59
384420,3G,Download,0.76,na
384421,3G,Download,2.18,na
384422,3G,Download,0.72,-57
384423,3G,Download,0.52,na
384424,3G,Download,0.44,-55
384425,3G,Download,4.72,-73
384426,3G,Download,3.93,-73
384427,3G,Download,4.69,-75
384428,3G,Download,6.68,-77
384429,3G,Download,4.72,-81
384430,3G,Download,0.01,-81
384431,3G,Download,2.82,-59
384432,3G,Download,1.67,-61
384433,3G,Download,1.41,-75
384434,3G,Download,0.48,-91
384442,3G,Upload,2.62,-61
384443,3G,Upload,2.81,-55
384444,3G,Upload,2.14,-77
384445,3G,Upload,2.49,-81
384446,3G,Upload,1.08,-79
384447,3G,Upload,2.74,-77
384448,3G,Upload,3.06,-73
384449,3G,Upload,2.23,-63
384450,3G,Upload,2.61,-57
384451,3G,Upload,1.1,na
384452,3G,Upload,1.2,-63
384453,3G,Upload,1.12,-57
